peak_name   chn_centroid    FWHM        err_centroid    ref_energy		E		    err_energy
X-Rays_Pb   54.66           17.0200     0.62            0.074           0.0755461   0.0407327
unknown     98.03           7.5014      0.62            0      		    0.147634	0.0407411
Ra-226      120.80          10.3373     0.62            0.1862		    0.185543	0.0407454
Pb-212      152.94          14.4009     0.62            0.2386		    0.239122	0.0407516
Pb-214      185.67          13.9138     0.62            0.2952		    0.293772	0.0407579
Pb-214      220.31          16.5436     0.62            0.3519		    0.351705	0.0407645
Bi-214      374.36          24.9463     0.62            0.6093		    0.610523	0.0407941
Bi-214      469.43          33.7868     0.62            0.7684		    0.77121		0.0408124
Bi-214      676.80          34.4116     0.62            1.1203          1.12425		0.0408521
unknown     850.02          55.9381     0.62            0		        1.42182		0.0408853
