Filename:  C:\Users\LabIFNS\Desktop\Gruppo B1\137Cs spettro.mca
Description:  
TimeStamp:  03/21/2022 15:43:18

ROI Information
Start	End	FWHM (G)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
38	66	9.849	6983	20967	51.27	2.68	GOOD
360	455	30.355	82530	87299	404.96	0.37	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	711
15	721
16	887
17	1031
18	1398
19	1791
20	2562
21	3479
22	4060
23	3925
24	2999
25	2225
26	1508
27	1104
28	786
29	667
30	580
31	555
32	560
33	535
34	537
35	512
36	557
37	548
38	523
39	547
40	575
41	606
42	588
43	694
44	695
45	734
46	771
47	893
48	925
49	1040
50	1170
51	1149
52	1105
53	1066
54	993
55	917
56	861
57	823
58	717
59	707
60	684
61	633
62	562
63	547
64	488
65	477
66	516
67	466
68	451
69	473
70	447
71	427
72	456
73	468
74	430
75	450
76	444
77	451
78	434
79	491
80	475
81	463
82	453
83	493
84	499
85	511
86	481
87	495
88	465
89	456
90	472
91	497
92	452
93	496
94	465
95	494
96	465
97	467
98	468
99	485
100	499
101	512
102	511
103	495
104	527
105	534
106	521
107	535
108	585
109	577
110	496
111	567
112	564
113	576
114	616
115	618
116	606
117	627
118	726
119	744
120	728
121	797
122	798
123	826
124	805
125	910
126	890
127	898
128	866
129	874
130	929
131	879
132	910
133	903
134	915
135	908
136	844
137	924
138	880
139	899
140	821
141	877
142	860
143	846
144	777
145	838
146	774
147	779
148	726
149	727
150	714
151	709
152	655
153	677
154	618
155	682
156	658
157	664
158	605
159	650
160	653
161	586
162	579
163	559
164	593
165	520
166	542
167	552
168	570
169	527
170	530
171	468
172	475
173	494
174	542
175	486
176	491
177	487
178	455
179	457
180	508
181	480
182	519
183	485
184	478
185	448
186	455
187	467
188	435
189	441
190	470
191	426
192	461
193	468
194	461
195	423
196	420
197	436
198	419
199	434
200	427
201	448
202	421
203	413
204	405
205	425
206	437
207	399
208	445
209	371
210	427
211	422
212	437
213	424
214	384
215	421
216	375
217	382
218	389
219	390
220	377
221	398
222	400
223	426
224	383
225	388
226	389
227	395
228	391
229	406
230	404
231	426
232	430
233	414
234	418
235	360
236	385
237	377
238	410
239	368
240	380
241	355
242	382
243	424
244	404
245	390
246	378
247	389
248	390
249	409
250	431
251	392
252	402
253	408
254	428
255	401
256	412
257	390
258	410
259	380
260	385
261	403
262	404
263	417
264	454
265	398
266	424
267	446
268	407
269	440
270	414
271	432
272	383
273	384
274	405
275	391
276	415
277	406
278	399
279	398
280	396
281	380
282	410
283	355
284	375
285	331
286	349
287	317
288	306
289	288
290	292
291	297
292	264
293	289
294	254
295	232
296	232
297	223
298	199
299	171
300	178
301	155
302	169
303	138
304	183
305	165
306	118
307	133
308	137
309	117
310	107
311	107
312	100
313	102
314	114
315	103
316	114
317	82
318	84
319	85
320	89
321	82
322	99
323	78
324	70
325	87
326	79
327	91
328	71
329	73
330	71
331	60
332	70
333	59
334	54
335	57
336	45
337	70
338	70
339	56
340	59
341	68
342	41
343	62
344	74
345	49
346	61
347	66
348	70
349	61
350	73
351	66
352	77
353	69
354	62
355	71
356	79
357	88
358	82
359	73
360	98
361	96
362	101
363	117
364	99
365	112
366	116
367	162
368	127
369	149
370	170
371	207
372	220
373	235
374	259
375	305
376	342
377	388
378	389
379	462
380	433
381	553
382	584
383	660
384	748
385	846
386	893
387	1016
388	1071
389	1208
390	1313
391	1433
392	1529
393	1629
394	1740
395	1850
396	2019
397	2088
398	2111
399	2280
400	2363
401	2429
402	2475
403	2601
404	2621
405	2579
406	2577
407	2543
408	2595
409	2600
410	2449
411	2494
412	2384
413	2280
414	2179
415	1993
416	1905
417	1926
418	1620
419	1483
420	1407
421	1279
422	1143
423	1029
424	900
425	805
426	651
427	634
428	549
429	456
430	367
431	300
432	290
433	253
434	182
435	149
436	131
437	115
438	108
439	92
440	48
441	36
442	43
443	36
444	33
445	20
446	20
447	13
448	9
449	10
450	7
451	6
452	15
453	3
454	4
455	2
456	2
457	3
458	7
459	3
460	2
461	9
462	7
463	2
464	5
465	10
466	4
467	5
468	0
469	4
470	3
471	3
472	0
473	3
