Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\137Cs_C29_activity.mca
Description:  
TimeStamp:  03/22/2022 17:02:41

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
353	445	30.780	16060	17152	403.41	0.84	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	109
15	89
16	121
17	138
18	182
19	297
20	443
21	651
22	780
23	761
24	570
25	462
26	316
27	222
28	174
29	138
30	147
31	127
32	127
33	140
34	125
35	128
36	135
37	139
38	143
39	151
40	147
41	150
42	177
43	209
44	188
45	207
46	238
47	267
48	328
49	357
50	416
51	405
52	394
53	409
54	318
55	290
56	275
57	262
58	265
59	215
60	208
61	205
62	159
63	144
64	144
65	123
66	141
67	132
68	104
69	111
70	132
71	121
72	130
73	137
74	134
75	149
76	132
77	133
78	98
79	137
80	142
81	126
82	140
83	123
84	141
85	152
86	150
87	162
88	131
89	139
90	127
91	130
92	148
93	139
94	144
95	144
96	140
97	148
98	161
99	128
100	135
101	151
102	131
103	144
104	132
105	128
106	137
107	126
108	125
109	143
110	147
111	141
112	164
113	155
114	153
115	148
116	165
117	170
118	168
119	141
120	163
121	183
122	164
123	172
124	166
125	183
126	218
127	188
128	218
129	195
130	197
131	225
132	205
133	196
134	185
135	184
136	191
137	194
138	213
139	210
140	188
141	185
142	207
143	188
144	192
145	206
146	191
147	206
148	192
149	192
150	183
151	222
152	204
153	182
154	180
155	191
156	195
157	186
158	189
159	163
160	196
161	184
162	177
163	186
164	168
165	198
166	193
167	189
168	169
169	167
170	137
171	181
172	165
173	156
174	169
175	175
176	161
177	134
178	146
179	168
180	156
181	145
182	184
183	162
184	168
185	142
186	155
187	163
188	150
189	135
190	120
191	129
192	154
193	140
194	126
195	116
196	131
197	134
198	148
199	128
200	119
201	119
202	117
203	122
204	120
205	103
206	114
207	107
208	93
209	109
210	114
211	110
212	111
213	92
214	106
215	104
216	113
217	110
218	101
219	120
220	100
221	91
222	105
223	87
224	109
225	88
226	112
227	112
228	98
229	105
230	99
231	80
232	110
233	102
234	90
235	95
236	92
237	102
238	94
239	91
240	83
241	97
242	86
243	77
244	96
245	75
246	95
247	98
248	102
249	93
250	83
251	93
252	92
253	76
254	101
255	91
256	92
257	95
258	89
259	81
260	73
261	83
262	86
263	75
264	96
265	105
266	90
267	79
268	77
269	83
270	103
271	93
272	91
273	87
274	75
275	105
276	97
277	84
278	94
279	79
280	87
281	83
282	70
283	78
284	82
285	80
286	77
287	68
288	68
289	60
290	56
291	49
292	70
293	64
294	48
295	41
296	43
297	48
298	41
299	39
300	33
301	44
302	36
303	25
304	28
305	27
306	28
307	35
308	23
309	22
310	27
311	31
312	20
313	26
314	34
315	30
316	18
317	20
318	26
319	20
320	22
321	20
322	18
323	18
324	26
325	25
326	17
327	17
328	18
329	24
330	23
331	9
332	15
333	10
334	17
335	21
336	15
337	16
338	15
339	22
340	27
341	18
342	18
343	21
344	22
345	16
346	23
347	20
348	13
349	11
350	17
351	30
352	19
353	17
354	20
355	20
356	25
357	22
358	32
359	27
360	19
361	25
362	39
363	19
364	26
365	21
366	22
367	29
368	34
369	40
370	46
371	52
372	57
373	54
374	64
375	75
376	67
377	82
378	83
379	80
380	123
381	124
382	142
383	163
384	183
385	172
386	191
387	228
388	232
389	285
390	275
391	313
392	313
393	302
394	348
395	359
396	401
397	435
398	435
399	478
400	429
401	492
402	480
403	520
404	509
405	484
406	478
407	498
408	476
409	490
410	486
411	431
412	416
413	399
414	408
415	353
416	362
417	327
418	318
419	281
420	243
421	246
422	187
423	176
424	143
425	127
426	113
427	120
428	94
429	80
430	84
431	52
432	44
433	39
434	28
435	30
436	27
437	23
438	15
439	14
440	10
441	13
442	7
443	12
444	6
445	7
446	5
447	3
448	3
449	2
450	2
451	1
452	3
453	3
454	2
455	2
456	4
457	4
458	2
459	4
460	1
461	3
462	1
463	1
464	3
465	1
466	1
467	3
468	2
469	1
470	3
471	3
472	2
473	2
474	3
475	1
476	2
477	3
478	1
479	3
480	2
481	0
482	2
483	2
484	5
485	4
486	1
487	1
488	0
489	6
490	0
491	2
492	1
