Filename:  C:\Users\LabIFNS\Desktop\Gruppo B1\57Co spettro.mca
Description:  
TimeStamp:  03/21/2022 16:07:18

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	51
15	41
16	57
17	65
18	83
19	71
20	96
21	75
22	91
23	111
24	109
25	125
26	104
27	142
28	146
29	180
30	205
31	186
32	137
33	143
34	118
35	119
36	103
37	119
38	136
39	122
40	181
41	178
42	191
43	239
44	264
45	332
46	481
47	664
48	869
49	1167
50	1314
51	1467
52	1518
53	1382
54	1163
55	1052
56	902
57	904
58	893
59	918
60	926
61	822
62	811
63	712
64	616
65	577
66	530
67	457
68	445
69	405
70	506
71	520
72	600
73	741
74	1014
75	1421
76	1977
77	2767
78	3750
79	4582
80	5686
81	6064
82	6394
83	6041
84	5526
85	4540
86	3504
87	2694
88	2084
89	1511
90	1198
91	977
92	799
93	670
94	524
95	432
96	320
97	208
98	146
99	86
100	61
101	50
102	37
103	22
104	29
105	18
106	25
107	12
108	16
109	18
110	22
111	19
112	13
113	10
114	14
115	18
116	14
117	17
118	18
119	14
120	12
121	15
122	17
123	12
124	18
125	14
126	16
127	15
128	12
129	18
130	19
131	15
132	14
133	19
134	15
135	20
136	17
137	11
138	17
139	9
140	15
141	14
142	12
143	15
144	13
145	14
146	13
147	21
148	12
149	17
150	16
151	12
152	11
153	17
154	14
155	13
156	11
157	13
158	9
159	8
160	18
161	15
162	11
163	9
164	11
165	9
166	12
167	7
168	12
169	10
170	13
171	9
172	8
173	12
174	12
175	7
176	15
177	11
178	7
179	10
180	4
181	9
182	6
183	7
184	7
185	9
186	12
187	3
188	7
189	9
190	10
191	12
192	11
193	5
194	8
195	12
196	7
197	8
198	9
199	10
200	9
201	6
202	10
203	8
204	11
205	8
206	11
207	6
208	9
209	6
210	12
211	7
212	12
213	4
214	5
215	7
216	10
217	8
218	14
219	13
220	8
221	5
222	4
223	8
224	8
225	11
226	9
227	10
228	4
229	8
230	9
231	5
232	9
233	3
234	4
235	4
236	6
237	8
238	5
239	3
240	3
241	5
242	9
243	3
244	9
245	4
246	6
247	5
248	5
249	5
250	4
251	8
252	5
253	5
254	7
255	4
256	4
257	3
258	8
259	3
260	14
261	4
262	6
263	10
264	4
265	6
266	2
267	7
268	11
269	6
270	5
271	0
272	9
273	2
274	4
275	3
276	5
277	7
278	3
279	3
280	5
281	4
282	2
283	3
284	5
285	5
286	4
287	4
288	3
289	3
290	0
291	2
292	4
293	7
294	6
295	3
296	8
297	2
298	2
299	5
300	6
301	3
302	6
303	2
304	6
305	4
306	4
307	1
308	4
309	7
310	2
311	3
312	5
313	5
314	3
315	5
316	1
317	9
318	3
319	6
320	1
321	3
322	4
323	7
324	3
325	3
326	3
327	5
328	2
329	2
330	3
331	4
332	6
333	6
334	4
335	4
336	7
337	4
338	4
339	2
340	6
341	5
342	5
343	2
344	7
345	1
346	7
347	1
348	3
349	4
350	1
351	4
352	7
353	6
354	3
355	1
356	3
357	4
358	5
359	5
360	1
361	2
362	2
363	1
364	2
365	3
366	2
367	3
368	2
369	6
370	2
371	1
372	3
373	0
374	4
375	4
376	3
377	4
378	3
379	1
380	2
381	4
382	6
383	5
384	10
385	3
386	6
387	1
388	6
389	8
390	3
391	5
392	2
393	4
394	2
395	8
396	4
397	4
398	2
399	2
400	10
401	5
402	4
403	5
404	6
405	4
406	8
407	5
408	4
409	6
410	7
411	5
412	6
413	5
414	6
415	7
416	6
417	5
418	4
419	4
420	5
421	8
422	5
423	4
424	8
425	4
426	4
427	2
428	5
429	1
430	4
431	4
432	3
433	1
434	7
435	2
436	2
437	2
438	3
439	5
440	1
441	5
442	2
443	2
444	3
445	3
446	3
447	1
448	2
449	4
450	2
451	2
452	4
453	3
454	2
455	2
456	1
457	3
458	0
459	1
460	0
461	3
462	2
463	0
464	3
465	0
466	4
467	2
468	3
469	1
470	6
471	2
472	4
473	1
474	0
475	0
476	1
477	0
478	6
479	4
480	0
481	4
482	2
483	1
484	1
485	3
486	4
487	3
488	2
489	3
490	4
491	1
492	1
493	1
494	1
495	0
496	3
497	2
498	1
499	1
500	2
501	4
502	4
503	2
504	2
505	5
506	1
