Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Coeff ass Pb\4.mca
Description:  
TimeStamp:  03/23/2022 15:21:24

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
368	444	30.362	9171	11083	408.76	1.24	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	71
15	81
16	86
17	78
18	70
19	95
20	75
21	79
22	78
23	60
24	89
25	82
26	88
27	93
28	101
29	107
30	100
31	121
32	104
33	91
34	95
35	99
36	78
37	100
38	94
39	108
40	103
41	105
42	113
43	132
44	124
45	140
46	174
47	245
48	222
49	226
50	274
51	302
52	297
53	286
54	232
55	242
56	236
57	191
58	207
59	180
60	160
61	161
62	136
63	144
64	143
65	99
66	81
67	108
68	107
69	96
70	96
71	104
72	96
73	99
74	102
75	101
76	108
77	89
78	96
79	98
80	112
81	98
82	108
83	108
84	116
85	99
86	95
87	117
88	97
89	96
90	99
91	105
92	106
93	100
94	108
95	96
96	91
97	87
98	117
99	108
100	102
101	90
102	127
103	126
104	101
105	119
106	136
107	120
108	96
109	96
110	114
111	106
112	109
113	104
114	107
115	127
116	113
117	139
118	105
119	105
120	116
121	141
122	95
123	122
124	131
125	118
126	123
127	101
128	106
129	118
130	100
131	106
132	117
133	133
134	103
135	131
136	129
137	115
138	140
139	137
140	143
141	136
142	149
143	141
144	132
145	124
146	122
147	136
148	138
149	133
150	129
151	114
152	108
153	137
154	137
155	110
156	112
157	122
158	132
159	132
160	135
161	121
162	125
163	115
164	109
165	108
166	113
167	111
168	123
169	129
170	124
171	117
172	110
173	118
174	131
175	115
176	118
177	98
178	107
179	95
180	117
181	110
182	119
183	127
184	117
185	117
186	114
187	91
188	111
189	103
190	96
191	76
192	81
193	87
194	94
195	112
196	92
197	107
198	105
199	90
200	80
201	108
202	88
203	114
204	101
205	99
206	95
207	98
208	95
209	89
210	90
211	94
212	108
213	88
214	90
215	100
216	71
217	104
218	91
219	91
220	113
221	109
222	86
223	88
224	96
225	103
226	70
227	96
228	81
229	93
230	80
231	97
232	67
233	92
234	88
235	82
236	72
237	79
238	91
239	67
240	75
241	94
242	93
243	78
244	71
245	100
246	97
247	99
248	88
249	69
250	90
251	90
252	85
253	85
254	75
255	92
256	84
257	87
258	65
259	83
260	94
261	66
262	88
263	82
264	84
265	97
266	92
267	81
268	88
269	88
270	91
271	71
272	83
273	90
274	94
275	97
276	70
277	83
278	84
279	81
280	73
281	86
282	60
283	63
284	66
285	96
286	62
287	86
288	76
289	69
290	87
291	66
292	73
293	67
294	85
295	57
296	53
297	57
298	63
299	55
300	53
301	49
302	51
303	48
304	59
305	53
306	52
307	49
308	57
309	36
310	61
311	43
312	46
313	43
314	45
315	43
316	41
317	24
318	42
319	40
320	39
321	49
322	39
323	43
324	36
325	32
326	36
327	29
328	35
329	38
330	48
331	34
332	37
333	46
334	40
335	36
336	34
337	40
338	44
339	47
340	37
341	38
342	32
343	34
344	28
345	29
346	38
347	29
348	38
349	33
350	50
351	40
352	36
353	32
354	50
355	35
356	38
357	43
358	28
359	35
360	54
361	34
362	41
363	36
364	45
365	59
366	39
367	34
368	42
369	47
370	41
371	39
372	40
373	33
374	46
375	53
376	58
377	50
378	47
379	67
380	80
381	75
382	70
383	61
384	78
385	106
386	82
387	90
388	94
389	115
390	130
391	136
392	164
393	146
394	186
395	201
396	208
397	203
398	218
399	231
400	231
401	260
402	259
403	284
404	269
405	298
406	300
407	313
408	310
409	309
410	296
411	338
412	325
413	307
414	268
415	312
416	279
417	258
418	262
419	250
420	200
421	211
422	197
423	181
424	188
425	162
426	143
427	102
428	84
429	103
430	92
431	75
432	66
433	63
434	55
435	46
436	39
437	36
438	23
439	27
440	23
441	16
442	13
443	15
444	9
445	5
446	4
447	3
448	6
449	4
450	5
451	4
452	5
453	4
454	0
455	2
456	1
457	0
458	4
459	4
460	2
461	3
462	3
463	4
464	1
465	1
466	2
467	3
468	3
469	2
470	1
471	0
472	1
473	0
474	4
475	1
476	0
477	2
478	2
479	6
480	1
481	1
482	3
483	2
484	4
485	0
486	2
487	3
488	3
489	1
490	0
491	0
492	2
