Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Picco somma 60Co.mca
Description:  
TimeStamp:  03/23/2022 17:20:24

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
345	394	20.506	186672	304464	370.25	0.35	GOOD
398	448	22.669	170000	220053	420.35	0.31	GOOD
753	823	23.847	1632	2322	789.16	3.36	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	5706
15	5819
16	5977
17	5689
18	5633
19	5828
20	6138
21	6496
22	6928
23	7728
24	8860
25	10752
26	12418
27	12503
28	11418
29	9491
30	8609
31	7532
32	6676
33	5912
34	5169
35	5119
36	4959
37	5070
38	5101
39	5098
40	4830
41	5216
42	5361
43	5318
44	5315
45	5328
46	5468
47	5369
48	5558
49	5430
50	5652
51	5530
52	5458
53	5613
54	5522
55	5581
56	5546
57	5534
58	5521
59	5655
60	5556
61	5887
62	5869
63	5902
64	5980
65	6166
66	6297
67	6653
68	6773
69	7245
70	7562
71	7989
72	8396
73	8936
74	9311
75	9635
76	9958
77	10312
78	10513
79	10500
80	10647
81	10562
82	10454
83	10360
84	10133
85	10064
86	9794
87	9608
88	9301
89	9263
90	8713
91	8580
92	8401
93	8020
94	7739
95	7540
96	7239
97	7154
98	6899
99	6765
100	6647
101	6529
102	6258
103	6175
104	6058
105	5867
106	5720
107	5736
108	5555
109	5422
110	5301
111	5206
112	5282
113	5001
114	5101
115	4904
116	4915
117	4826
118	4735
119	4587
120	4689
121	4607
122	4601
123	4464
124	4529
125	4491
126	4397
127	4410
128	4312
129	4325
130	4273
131	4304
132	4353
133	4318
134	4137
135	4185
136	4072
137	4199
138	4188
139	4149
140	4134
141	4137
142	4140
143	4020
144	3920
145	4049
146	3964
147	3911
148	3934
149	3995
150	3974
151	3967
152	4092
153	3905
154	3900
155	3945
156	3897
157	3997
158	4013
159	4013
160	4161
161	4047
162	4081
163	4110
164	4061
165	4040
166	4128
167	4072
168	4020
169	4121
170	4082
171	3988
172	3905
173	3965
174	3944
175	3797
176	3953
177	3799
178	3864
179	3883
180	3837
181	3811
182	3955
183	3849
184	3818
185	3790
186	3781
187	3717
188	3896
189	3877
190	3969
191	3950
192	3734
193	3911
194	3842
195	3886
196	3943
197	3838
198	3847
199	3954
200	3793
201	3792
202	3914
203	3809
204	3910
205	3927
206	3995
207	3974
208	4005
209	3895
210	3832
211	4004
212	3953
213	3835
214	3912
215	3945
216	4098
217	4112
218	3885
219	3970
220	4040
221	4053
222	4118
223	4131
224	4033
225	4118
226	4085
227	4046
228	4067
229	4125
230	4207
231	3986
232	4140
233	4080
234	4148
235	4148
236	4009
237	4256
238	4164
239	4216
240	4281
241	4188
242	4214
243	4345
244	4210
245	4326
246	4311
247	4301
248	4365
249	4267
250	4292
251	4358
252	4412
253	4309
254	4448
255	4510
256	4373
257	4519
258	4648
259	4491
260	4578
261	4596
262	4539
263	4708
264	4632
265	4684
266	4762
267	4680
268	4774
269	4653
270	4679
271	4776
272	4893
273	4831
274	4833
275	4794
276	4638
277	4864
278	4866
279	4812
280	4871
281	4838
282	4856
283	4942
284	5058
285	4845
286	4851
287	4916
288	4917
289	4945
290	5027
291	5050
292	5020
293	4985
294	4900
295	4889
296	4783
297	4788
298	4784
299	4628
300	4603
301	4425
302	4341
303	4236
304	4210
305	4057
306	3984
307	3857
308	3913
309	3782
310	3632
311	3663
312	3631
313	3408
314	3310
315	3345
316	3327
317	3222
318	3293
319	3220
320	3133
321	3063
322	3091
323	3091
324	2955
325	3058
326	2947
327	2987
328	3095
329	3073
330	2969
331	3080
332	3072
333	3115
334	3079
335	3050
336	3052
337	3038
338	3069
339	3120
340	3081
341	3173
342	3134
343	3259
344	3232
345	3230
346	3306
347	3348
348	3420
349	3475
350	3677
351	3769
352	3900
353	4152
354	4475
355	4756
356	5059
357	5365
358	5853
359	6581
360	6965
361	7498
362	7882
363	8407
364	9038
365	9384
366	9999
367	10350
368	10748
369	10926
370	11249
371	11064
372	10882
373	10805
374	10317
375	10086
376	9665
377	9354
378	8331
379	7828
380	7169
381	6406
382	5834
383	5187
384	4618
385	4008
