Filename:  C:\Users\LabIFNS\Desktop\Gruppo B1\Sasso spettro.mca
Description:  
TimeStamp:  03/21/2022 16:19:09

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	465
15	485
16	521
17	514
18	568
19	544
20	547
21	602
22	625
23	635
24	606
25	695
26	682
27	710
28	781
29	839
30	918
31	986
32	991
33	1112
34	1056
35	1028
36	1004
37	1042
38	1187
39	1142
40	1247
41	1324
42	1419
43	1486
44	1645
45	1775
46	1908
47	2099
48	2311
49	2724
50	3029
51	3338
52	3468
53	3495
54	3226
55	2956
56	2752
57	2488
58	2357
59	2312
60	2277
61	2208
62	2262
63	2091
64	2075
65	1960
66	1941
67	1612
68	1593
69	1395
70	1249
71	1164
72	1195
73	1079
74	1079
75	1092
76	1090
77	1050
78	1032
79	894
80	910
81	813
82	857
83	881
84	841
85	883
86	877
87	867
88	860
89	884
90	906
91	936
92	898
93	949
94	914
95	977
96	962
97	1032
98	1008
99	1032
100	971
101	940
102	1003
103	975
104	916
105	956
106	979
107	962
108	954
109	901
110	947
111	944
112	910
113	962
114	1068
115	1022
116	1141
117	1185
118	1122
119	1233
120	1185
121	1251
122	1257
123	1135
124	1207
125	1114
126	1057
127	959
128	949
129	854
130	905
131	818
132	792
133	773
134	778
135	676
136	743
137	717
138	702
139	733
140	686
141	755
142	781
143	807
144	784
145	810
146	813
147	824
148	890
149	895
150	964
151	949
152	1002
153	1006
154	1000
155	938
156	992
157	949
158	956
159	919
160	887
161	859
162	793
163	776
164	733
165	706
166	708
167	698
168	625
169	646
170	659
171	667
172	700
173	739
174	698
175	801
176	775
177	751
178	871
179	894
180	905
181	958
182	1055
183	1055
184	1073
185	1029
186	1155
187	1144
188	1115
189	1092
190	1066
191	1001
192	956
193	955
194	891
195	775
196	745
197	679
198	635
199	594
200	532
201	587
202	585
203	529
204	554
205	572
206	600
207	668
208	664
209	784
210	776
211	840
212	919
213	1021
214	1037
215	1062
216	1158
217	1219
218	1202
219	1286
220	1281
221	1276
222	1318
223	1260
224	1144
225	1166
226	1084
227	1063
228	1015
229	976
230	834
231	735
232	657
233	621
234	580
235	510
236	485
237	390
238	363
239	372
240	318
241	268
242	282
243	290
244	256
245	244
246	266
247	253
248	254
249	275
250	245
251	224
252	229
253	229
254	228
255	237
256	208
257	223
258	226
259	238
260	230
261	220
262	196
263	196
264	182
265	187
266	184
267	191
268	186
269	192
270	170
271	192
272	198
273	166
274	175
275	149
276	187
277	172
278	181
279	176
280	157
281	172
282	178
283	158
284	166
285	142
286	155
287	151
288	165
289	177
290	166
291	180
292	182
293	142
294	163
295	179
296	141
297	159
298	157
299	159
300	180
301	163
302	160
303	161
304	163
305	146
306	172
307	174
308	168
309	152
310	155
311	148
312	165
313	128
314	158
315	136
316	147
317	157
318	143
319	165
320	147
321	132
322	167
323	137
324	141
325	150
326	144
327	128
328	166
329	150
330	146
331	134
332	136
333	119
334	143
335	154
336	140
337	141
338	138
339	137
340	154
341	145
342	136
343	138
344	155
345	147
346	171
347	157
348	178
349	195
350	182
351	196
352	205
353	225
354	223
355	220
356	258
357	258
358	299
359	301
360	344
361	378
362	349
363	374
364	431
365	424
366	465
367	444
368	482
369	512
370	518
371	514
372	537
373	519
374	509
375	549
376	539
377	534
378	567
379	517
380	515
381	551
382	483
383	473
384	393
385	348
386	373
387	363
388	348
389	341
390	328
391	308
392	253
393	215
394	197
395	224
396	171
397	165
398	137
399	147
400	138
401	137
402	143
403	108
404	131
405	127
406	89
407	103
408	110
409	109
410	96
411	111
412	121
413	105
414	79
415	83
416	100
417	105
418	105
419	97
420	89
421	96
422	105
423	94
424	95
425	114
426	92
427	82
428	91
429	96
430	100
431	74
432	93
433	77
434	85
435	100
436	97
437	85
438	95
439	88
440	104
441	98
442	104
443	99
444	80
445	114
446	92
447	101
448	92
449	102
450	84
451	99
452	95
453	99
454	125
455	103
456	111
457	112
458	118
459	112
460	101
461	116
462	108
463	122
464	109
465	119
466	139
467	100
468	111
469	122
470	130
471	117
472	107
473	108
474	115
475	112
476	116
477	99
478	117
479	118
480	95
481	113
482	132
483	123
484	96
485	104
486	115
487	99
488	90
489	97
