Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Stab_60Co\i 60Co.mca
Description:  
TimeStamp:  03/21/2022 15:09:05

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	97
15	90
16	114
17	110
18	116
19	124
20	131
21	134
22	129
23	110
24	129
25	127
26	119
27	134
28	131
29	121
30	128
31	132
32	146
33	150
34	132
35	130
36	125
37	115
38	146
39	148
40	155
41	155
42	165
43	185
44	176
45	163
46	188
47	207
48	240
49	275
50	294
51	315
52	286
53	283
54	286
55	249
56	210
57	205
58	195
59	179
60	154
61	143
62	147
63	142
64	150
65	110
66	111
67	127
68	126
69	117
70	119
71	117
72	109
73	120
74	133
75	126
76	107
77	123
78	114
79	119
80	131
81	118
82	101
83	125
84	131
85	119
86	123
87	121
88	116
89	120
90	143
91	129
92	115
93	115
94	125
95	141
96	132
97	135
98	122
99	123
100	124
101	137
102	129
103	125
104	131
105	139
106	139
107	148
108	138
109	121
110	127
111	139
112	127
113	118
114	136
115	147
116	136
117	143
118	131
119	146
120	144
121	119
122	117
123	139
124	146
125	142
126	122
127	153
128	142
129	157
130	161
131	143
132	173
133	155
134	194
135	158
136	178
137	197
138	203
139	198
140	208
141	222
142	210
143	175
144	191
145	244
146	215
147	235
148	241
149	218
150	271
151	221
152	242
153	239
154	231
155	280
156	216
157	265
158	271
159	242
160	264
161	212
162	242
163	240
164	199
165	221
166	219
167	233
168	226
169	223
170	209
171	244
172	192
173	191
174	211
175	184
176	178
177	206
178	172
179	204
180	186
181	187
182	162
183	157
184	140
185	172
186	176
187	158
188	144
189	125
190	140
191	147
192	147
193	138
194	148
195	148
196	148
197	154
198	137
199	147
200	142
201	154
202	129
203	119
204	142
205	121
206	117
207	146
208	104
209	109
210	119
211	100
212	123
213	110
214	109
215	124
216	112
217	102
218	114
219	116
220	116
221	110
222	120
223	103
224	113
225	111
226	97
227	108
228	117
229	114
230	102
231	120
232	108
233	104
234	114
235	102
236	104
237	108
238	101
239	97
240	98
241	108
242	108
243	114
244	102
245	92
246	90
247	87
248	85
249	104
250	93
251	104
252	93
253	85
254	118
255	95
256	97
257	105
258	84
259	85
260	80
261	86
262	101
263	84
264	116
265	98
266	97
267	79
268	81
269	81
270	115
271	94
272	87
273	86
274	96
275	101
276	87
277	89
278	88
279	79
280	89
281	93
282	82
283	80
284	83
285	77
286	89
287	94
288	78
289	78
290	106
291	99
292	84
293	89
294	91
295	94
296	91
297	110
298	101
299	88
300	87
301	84
302	94
303	88
304	84
305	78
306	84
307	100
308	101
309	95
310	86
311	103
312	103
313	99
314	83
315	87
316	98
317	98
318	97
319	106
320	87
321	108
322	106
323	95
324	91
325	117
326	75
327	80
328	85
329	87
330	90
331	84
332	84
333	102
334	83
335	97
336	104
337	90
338	89
339	77
340	87
341	96
342	84
343	84
344	82
345	98
346	78
347	99
348	105
349	92
350	81
351	83
352	103
353	93
354	88
355	85
356	98
357	82
358	87
359	99
360	98
361	81
362	77
363	97
364	93
365	85
366	90
367	91
368	85
369	85
370	95
371	87
372	91
373	80
374	81
375	93
376	72
377	83
378	101
379	94
380	84
381	72
382	81
383	86
384	97
385	98
386	92
387	66
388	94
389	92
390	90
391	96
392	94
393	96
394	92
395	91
396	88
397	93
398	101
399	89
400	76
401	85
402	71
403	77
404	93
405	96
406	78
407	90
408	72
409	84
410	97
411	97
412	102
413	84
414	83
415	80
416	84
417	103
418	84
419	83
420	91
421	113
422	107
423	117
424	89
425	86
426	88
427	103
428	98
429	85
430	95
431	90
432	80
433	88
434	93
435	96
436	86
437	98
438	107
439	92
440	103
441	94
442	96
443	90
444	104
445	87
446	108
447	94
448	107
449	94
450	95
451	91
452	82
453	100
454	99
455	92
456	113
457	89
458	85
459	101
460	90
461	103
462	105
463	93
464	108
465	108
466	97
467	87
468	104
469	76
470	88
471	116
472	98
473	89
474	103
475	112
476	101
477	103
478	100
479	95
480	98
481	95
482	107
483	97
484	94
485	104
486	106
487	107
488	107
489	96
490	100
491	106
492	122
493	106
494	105
495	111
496	105
497	100
498	117
499	111
500	107
501	96
502	98
503	99
504	103
505	95
506	94
507	115
508	129
509	113
510	112
