Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Stab_60Co\ii 60Co.mca
Description:  
TimeStamp:  03/21/2022 15:12:10

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
749	861	37.693	9532	11863	798.79	1.25	GOOD
797	800	0.000	0	459	0	0	BAD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	129
15	125
16	131
17	150
18	135
19	128
20	153
21	149
22	133
23	130
24	143
25	152
26	137
27	142
28	164
29	162
30	156
31	174
32	154
33	149
34	154
35	156
36	169
37	172
38	182
39	170
40	164
41	193
42	184
43	200
44	212
45	235
46	228
47	259
48	284
49	362
50	359
51	367
52	355
53	332
54	312
55	297
56	268
57	219
58	220
59	199
60	219
61	201
62	169
63	152
64	158
65	143
66	158
67	138
68	142
69	128
70	141
71	122
72	133
73	157
74	134
75	147
76	147
77	134
78	150
79	130
80	142
81	146
82	147
83	134
84	145
85	135
86	161
87	141
88	164
89	141
90	148
91	116
92	173
93	148
94	136
95	201
96	144
97	141
98	164
99	152
100	158
101	159
102	152
103	155
104	132
105	150
106	136
107	167
108	160
109	155
110	158
111	163
112	143
113	149
114	140
115	162
116	140
117	162
118	150
119	168
120	174
121	176
122	146
123	178
124	157
125	186
126	153
127	183
128	169
129	158
130	177
131	198
132	189
133	220
134	227
135	218
136	219
137	241
138	225
139	258
140	246
141	262
142	237
143	230
144	267
145	314
146	284
147	275
148	293
149	259
150	299
151	269
152	295
153	297
154	283
155	284
156	321
157	308
158	333
159	279
160	273
161	275
162	266
163	271
164	279
165	262
166	253
167	264
168	233
169	255
170	243
171	267
172	253
173	209
174	232
175	232
176	223
177	193
178	214
179	210
180	198
181	190
182	208
183	197
184	191
185	202
186	200
187	192
188	186
189	183
190	192
191	184
192	173
193	177
194	169
195	179
196	179
197	181
198	193
199	166
200	146
201	168
202	167
203	175
204	161
205	149
206	162
207	143
208	159
209	155
210	159
211	145
212	140
213	123
214	143
215	145
216	125
217	118
218	143
219	133
220	125
221	127
222	118
223	122
224	123
225	143
226	97
227	135
228	133
229	119
230	125
231	143
232	112
233	113
234	116
235	142
236	118
237	120
238	120
239	106
240	110
241	119
242	120
243	117
244	110
245	119
246	120
247	107
248	110
249	95
250	116
251	120
252	120
253	131
254	113
255	125
256	116
257	131
258	106
259	116
260	119
261	107
262	121
263	118
264	94
265	100
266	111
267	110
268	116
269	101
270	106
271	117
272	93
273	102
274	112
275	122
276	126
277	128
278	115
279	130
280	116
281	89
282	100
283	94
284	126
285	97
286	110
287	138
288	118
289	105
290	119
291	112
292	86
293	111
294	99
295	136
296	102
297	98
298	116
299	104
300	103
301	111
302	97
303	106
304	106
305	93
306	130
307	112
308	128
309	109
310	97
311	108
312	118
313	117
314	108
315	114
316	118
317	97
318	112
319	102
320	130
321	113
322	94
323	117
324	112
325	122
326	117
327	103
328	113
329	109
330	86
331	115
332	119
333	99
334	100
335	104
336	105
337	124
338	108
339	91
340	102
341	109
342	117
343	91
344	105
345	97
346	104
347	95
348	124
349	109
350	101
351	118
352	97
353	90
354	94
355	102
356	89
357	118
358	96
359	107
360	118
361	102
362	113
363	109
364	79
365	91
366	95
367	113
368	106
369	96
370	109
371	96
372	128
373	110
374	105
375	114
376	107
377	107
378	92
379	121
380	97
381	121
382	99
383	93
384	98
385	108
386	112
387	121
388	107
389	98
390	106
391	121
392	117
393	87
394	121
395	112
396	111
397	118
398	108
399	133
400	107
401	117
402	92
403	111
404	108
405	101
406	110
407	98
408	97
409	101
410	104
411	110
412	122
413	108
414	105
415	120
416	113
417	116
418	138
419	110
420	95
421	96
422	109
423	104
424	112
425	114
426	111
427	105
428	107
429	111
430	112
431	101
432	122
433	123
434	114
435	128
436	113
437	120
438	111
439	123
440	100
441	102
442	122
443	125
444	110
445	106
446	104
447	120
448	115
449	140
450	107
451	114
452	139
453	123
454	119
455	122
456	117
457	110
458	113
459	102
460	125
461	129
462	108
463	113
464	117
465	107
466	102
467	117
468	115
469	108
470	127
471	111
472	115
473	125
474	103
475	126
476	114
477	137
478	81
479	116
480	116
481	110
482	109
483	113
484	130
485	130
486	119
