Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Stab_60Co\iii 60Co.mca
Description:  
TimeStamp:  03/21/2022 15:17:27

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
753	874	38.191	7115	9755	798.96	1.56	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	126
15	112
16	92
17	127
18	106
19	130
20	117
21	123
22	122
23	110
24	130
25	120
26	125
27	121
28	116
29	122
30	148
31	127
32	141
33	113
34	127
35	150
36	138
37	138
38	145
39	160
40	138
41	180
42	156
43	165
44	186
45	191
46	194
47	214
48	233
49	282
50	289
51	290
52	272
53	313
54	273
55	240
56	223
57	184
58	178
59	217
60	166
61	162
62	132
63	115
64	133
65	103
66	128
67	108
68	133
69	112
70	119
71	105
72	120
73	115
74	116
75	104
76	103
77	112
78	106
79	134
80	132
81	99
82	115
83	103
84	116
85	122
86	130
87	110
88	122
89	126
90	121
91	124
92	114
93	130
94	133
95	130
96	125
97	125
98	119
99	129
100	135
101	129
102	118
103	129
104	126
105	120
106	133
107	133
108	128
109	132
110	141
111	110
112	140
113	134
114	120
115	129
116	122
117	137
118	129
119	144
120	125
121	127
122	142
123	149
124	128
125	142
126	135
127	142
128	156
129	155
130	191
131	155
132	190
133	192
134	172
135	172
136	179
137	197
138	186
139	211
140	215
141	192
142	204
143	232
144	228
145	225
146	252
147	238
148	234
149	256
150	252
151	228
152	257
153	231
154	230
155	264
156	261
157	258
158	231
159	247
160	207
161	239
162	238
163	226
164	250
165	235
166	218
167	227
168	240
169	187
170	197
171	214
172	207
173	229
174	210
175	176
176	197
177	192
178	190
179	209
180	201
181	183
182	162
183	184
184	172
185	173
186	181
187	155
188	128
189	149
190	160
191	159
192	152
193	146
194	135
195	172
196	126
197	145
198	126
199	138
200	132
201	126
202	132
203	106
204	136
205	134
206	107
207	116
208	137
209	109
210	109
211	121
212	133
213	109
214	112
215	108
216	107
217	119
218	97
219	122
220	112
221	84
222	108
223	120
224	118
225	100
226	104
227	107
228	99
229	112
230	97
231	102
232	101
233	114
234	91
235	86
236	105
237	91
238	93
239	98
240	108
241	97
242	104
243	107
244	98
245	94
246	102
247	96
248	102
249	86
250	89
251	94
252	107
253	84
254	92
255	102
256	99
257	101
258	87
259	102
260	99
261	96
262	101
263	99
264	79
265	103
266	83
267	81
268	88
269	96
270	102
271	89
272	84
273	96
274	98
275	91
276	95
277	86
278	88
279	101
280	91
281	80
282	87
283	104
284	117
285	98
286	87
287	99
288	105
289	93
290	93
291	86
292	97
293	110
294	108
295	82
296	101
297	94
298	96
299	78
300	92
301	94
302	87
303	100
304	94
305	92
306	86
307	109
308	98
309	86
310	96
311	85
312	85
313	87
314	86
315	112
316	85
317	112
318	82
319	89
320	91
321	108
322	84
323	84
324	92
325	91
326	82
327	95
328	90
329	89
330	92
331	106
332	110
333	97
334	72
335	84
336	107
337	94
338	97
339	77
340	91
341	86
342	85
343	73
344	77
345	68
346	103
347	105
348	89
349	100
350	88
351	78
352	83
353	73
354	83
355	86
356	84
357	70
358	88
359	95
360	91
361	83
362	98
363	77
364	92
365	88
366	78
367	88
368	82
369	88
370	102
371	76
372	83
373	82
374	78
375	97
376	83
377	97
378	65
379	92
380	92
381	89
382	97
383	116
384	99
385	90
386	83
387	92
388	89
389	106
390	94
391	81
392	90
393	93
394	102
395	106
396	100
397	77
398	112
399	113
400	79
401	92
402	84
403	72
404	72
405	83
406	93
407	96
408	104
409	79
410	85
411	111
412	79
413	90
414	77
415	90
416	91
417	101
418	74
419	113
420	86
421	81
422	90
423	95
424	100
425	108
426	100
427	91
428	102
429	93
430	92
431	81
432	105
433	95
434	105
435	79
436	109
437	100
438	102
439	108
440	97
441	93
442	80
443	94
444	100
445	89
446	89
447	98
448	100
449	105
450	90
451	112
452	81
453	103
454	109
455	97
456	88
457	94
458	95
459	97
460	93
461	105
462	105
463	95
464	98
465	106
466	88
467	102
468	100
469	100
470	106
471	98
472	109
473	114
474	105
475	100
476	102
477	81
478	107
479	110
480	93
481	116
482	103
483	107
484	94
485	104
486	103
487	101
488	111
489	104
490	98
491	116
