Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Stab_60Co\iv 60Co.mca
Description:  
TimeStamp:  03/21/2022 15:22:26

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
752	852	39.569	7881	9861	798.55	1.38	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	103
15	115
16	119
17	128
18	118
19	119
20	113
21	126
22	104
23	117
24	137
25	135
26	118
27	110
28	114
29	133
30	141
31	140
32	132
33	140
34	128
35	124
36	139
37	111
38	146
39	137
40	140
41	168
42	156
43	152
44	184
45	180
46	208
47	223
48	251
49	260
50	293
51	296
52	296
53	282
54	277
55	219
56	219
57	207
58	159
59	191
60	181
61	154
62	160
63	133
64	104
65	121
66	115
67	126
68	112
69	114
70	116
71	113
72	88
73	116
74	134
75	124
76	112
77	103
78	95
79	123
80	127
81	135
82	131
83	113
84	131
85	128
86	155
87	113
88	111
89	123
90	128
91	123
92	130
93	124
94	119
95	133
96	121
97	144
98	116
99	111
100	117
101	106
102	158
103	112
104	113
105	129
106	136
107	155
108	125
109	128
110	140
111	135
112	132
113	124
114	149
115	126
116	142
117	141
118	143
119	127
120	145
121	142
122	122
123	144
124	143
125	140
126	123
127	143
128	151
129	140
130	149
131	157
132	161
133	168
134	164
135	186
136	182
137	217
138	190
139	201
140	223
141	205
142	251
143	219
144	204
145	237
146	252
147	220
148	230
149	244
150	244
151	240
152	269
153	238
154	230
155	212
156	218
157	237
158	232
159	222
160	247
161	205
162	209
163	246
164	218
165	203
166	227
167	216
168	239
169	193
170	257
171	202
172	194
173	199
174	200
175	199
176	204
177	185
178	176
179	184
180	172
181	166
182	180
183	168
184	141
185	143
186	152
187	146
188	165
189	164
190	145
191	148
192	145
193	136
194	162
195	164
196	138
197	121
198	130
199	134
200	151
201	137
202	120
203	114
204	111
205	146
206	131
207	114
208	112
209	117
210	136
211	135
212	115
213	125
214	117
215	111
216	111
217	106
218	115
219	128
220	132
221	117
222	127
223	120
224	97
225	97
226	99
227	110
228	106
229	103
230	117
231	118
232	106
233	102
234	97
235	93
236	100
237	102
238	117
239	97
240	120
241	87
242	105
243	98
244	117
245	95
246	94
247	94
248	100
249	97
250	96
251	97
252	86
253	104
254	87
255	101
256	98
257	94
258	86
259	78
260	80
261	101
262	85
263	83
264	86
265	97
266	90
267	106
268	97
269	98
270	97
271	73
272	90
273	97
274	103
275	82
276	97
277	113
278	95
279	94
280	81
281	90
282	105
283	89
284	88
285	78
286	86
287	99
288	92
289	104
290	93
291	89
292	91
293	95
294	99
295	86
296	93
297	81
298	108
299	86
300	96
301	103
302	88
303	95
304	93
305	100
306	90
307	92
308	96
309	81
310	89
311	79
312	87
313	88
314	85
315	87
316	89
317	90
318	93
319	101
320	85
321	88
322	87
323	73
324	102
325	100
326	97
327	96
328	92
329	95
330	96
331	92
332	91
333	87
334	90
335	94
336	95
337	87
338	115
339	82
340	102
341	79
342	85
343	85
344	94
345	80
346	76
347	94
348	73
349	76
350	97
351	80
352	89
353	84
354	94
355	84
356	85
357	90
358	97
359	90
360	92
361	90
362	88
363	79
364	85
365	96
366	96
367	90
368	84
369	86
370	77
371	95
372	103
373	86
374	79
375	83
376	94
377	94
378	93
379	72
380	93
381	91
382	100
383	81
384	86
385	93
386	111
387	69
388	99
389	99
390	88
391	91
392	88
393	77
394	102
395	90
396	119
397	90
398	78
399	94
400	86
401	97
402	83
403	88
404	102
405	96
406	89
407	91
408	69
409	92
410	90
411	70
412	106
413	94
414	87
415	92
416	88
417	94
418	97
419	102
420	116
421	100
422	75
423	102
424	79
425	94
426	103
427	104
428	88
429	101
430	88
431	81
432	101
433	89
434	88
435	94
436	89
437	80
438	93
439	89
440	98
441	102
442	90
443	108
444	108
445	85
446	92
447	108
448	98
449	91
450	99
451	97
452	86
453	100
454	104
455	91
456	89
457	77
458	100
459	96
460	105
461	99
462	99
463	96
464	111
465	104
466	100
467	98
468	104
469	105
470	102
471	90
472	108
473	93
474	106
475	121
476	117
477	119
478	119
479	101
480	96
481	92
482	98
483	95
484	104
485	94
486	107
487	88
488	100
489	100
490	96
491	116
