Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Stab_60Co\v 60Co.mca
Description:  
TimeStamp:  03/21/2022 15:24:59

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
751	857	40.455	7822	9922	798.33	1.40	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	93
15	104
16	120
17	123
18	102
19	115
20	97
21	134
22	101
23	124
24	123
25	136
26	118
27	122
28	146
29	108
30	125
31	156
32	139
33	121
34	122
35	139
36	137
37	137
38	138
39	126
40	150
41	150
42	144
43	154
44	188
45	177
46	192
47	220
48	215
49	278
50	284
51	286
52	280
53	275
54	256
55	231
56	194
57	200
58	187
59	181
60	175
61	153
62	154
63	157
64	130
65	120
66	121
67	139
68	113
69	114
70	124
71	112
72	114
73	124
74	134
75	110
76	91
77	134
78	130
79	102
80	119
81	118
82	101
83	125
84	130
85	114
86	120
87	145
88	115
89	131
90	144
91	113
92	135
93	134
94	126
95	126
96	130
97	128
98	126
99	129
100	125
101	105
102	126
103	141
104	134
105	127
106	139
107	115
108	115
109	138
110	130
111	136
112	127
113	141
114	138
115	118
116	141
117	148
118	150
119	114
120	136
121	134
122	151
123	149
124	130
125	133
126	131
127	154
128	153
129	127
130	160
131	158
132	165
133	197
134	177
135	180
136	185
137	178
138	197
139	238
140	184
141	208
142	214
143	238
144	243
145	251
146	230
147	217
148	249
149	271
150	257
151	232
152	225
153	214
154	252
155	237
156	233
157	211
158	234
159	262
160	207
161	239
162	228
163	258
164	223
165	233
166	233
167	236
168	189
169	189
170	227
171	187
172	188
173	194
174	157
175	165
176	189
177	172
178	180
179	171
180	162
181	181
182	176
183	167
184	176
185	143
186	153
187	167
188	153
189	161
190	185
191	170
192	160
193	165
194	142
195	158
196	128
197	120
198	161
199	135
200	140
201	148
202	119
203	150
204	111
205	126
206	150
207	119
208	124
209	124
210	112
211	123
212	125
213	132
214	111
215	110
216	107
217	105
218	103
219	85
220	106
221	108
222	108
223	120
224	105
225	88
226	113
227	118
228	123
229	115
230	125
231	109
232	88
233	105
234	112
235	91
236	108
237	108
238	106
239	101
240	95
241	98
242	108
243	97
244	97
245	105
246	95
247	102
248	111
249	102
250	102
251	99
252	75
253	94
254	96
255	90
256	98
257	97
258	97
259	79
260	86
261	90
262	89
263	83
264	92
265	86
266	91
267	84
268	91
269	92
270	79
271	90
272	106
273	102
274	88
275	104
276	84
277	95
278	79
279	89
280	93
281	105
282	87
283	89
284	112
285	86
286	112
287	89
288	91
289	77
290	89
291	93
292	76
293	85
294	81
295	106
296	93
297	91
298	91
299	91
300	95
301	89
302	64
303	91
304	94
305	91
306	92
307	92
308	92
309	88
310	102
311	98
312	109
313	104
314	94
315	109
316	86
317	88
318	101
319	77
320	75
321	92
322	100
323	94
324	87
325	84
326	79
327	110
328	104
329	85
330	76
331	87
332	88
333	88
334	108
335	91
336	90
337	85
338	98
339	88
340	90
341	93
342	80
343	81
344	68
345	82
346	89
347	89
348	99
349	74
350	80
351	87
352	97
353	82
354	72
355	100
356	92
357	85
358	82
359	93
360	78
361	72
362	84
363	98
364	108
365	92
366	91
367	97
368	90
369	86
370	98
371	95
372	76
373	84
374	79
375	86
376	71
377	91
378	80
379	85
380	94
381	91
382	113
383	85
384	86
385	87
386	88
387	86
388	66
389	73
390	83
391	85
392	92
393	94
394	78
395	89
396	86
397	98
398	96
399	80
400	98
401	88
402	94
403	102
404	96
405	105
406	90
407	73
408	84
409	108
410	96
411	110
412	87
413	90
414	83
415	76
416	97
417	94
418	92
419	105
420	97
421	90
422	99
423	101
424	88
425	91
426	104
427	92
428	92
429	100
430	100
431	104
432	87
433	92
434	103
435	75
436	105
437	92
438	86
439	84
440	107
441	92
442	99
443	100
444	105
445	87
446	98
447	93
448	102
449	104
450	77
451	87
452	87
453	105
454	115
455	100
456	100
457	78
458	90
459	101
460	75
461	109
462	95
463	103
464	90
465	116
466	101
467	113
468	100
469	99
470	90
471	90
472	98
473	79
474	98
475	113
476	89
477	105
478	102
479	115
480	80
481	98
482	98
483	114
484	113
485	98
486	97
487	92
488	105
489	95
490	104
491	84
