Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Stab_60Co\vi 60Co.mca
Description:  
TimeStamp:  03/21/2022 15:27:35

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
751	853	41.027	7976	10046	798.49	1.38	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	98
15	121
16	139
17	118
18	133
19	120
20	133
21	123
22	127
23	116
24	108
25	137
26	131
27	138
28	141
29	153
30	142
31	136
32	140
33	152
34	125
35	137
36	140
37	131
38	165
39	131
40	131
41	141
42	164
43	173
44	161
45	173
46	205
47	213
48	240
49	299
50	278
51	291
52	316
53	283
54	257
55	269
56	227
57	207
58	188
59	170
60	172
61	143
62	143
63	125
64	115
65	126
66	127
67	110
68	115
69	119
70	112
71	127
72	116
73	113
74	108
75	109
76	106
77	123
78	96
79	109
80	125
81	134
82	100
83	130
84	136
85	129
86	123
87	114
88	119
89	114
90	130
91	124
92	97
93	116
94	135
95	139
96	112
97	139
98	122
99	124
100	126
101	127
102	131
103	141
104	112
105	109
106	133
107	116
108	122
109	116
110	124
111	148
112	136
113	134
114	164
115	128
116	126
117	135
118	124
119	151
120	129
121	147
122	162
123	152
124	128
125	118
126	149
127	145
128	137
129	168
130	151
131	150
132	167
133	177
134	189
135	207
136	166
137	198
138	189
139	183
140	226
141	208
142	226
143	209
144	194
145	226
146	271
147	259
148	248
149	259
150	255
151	246
152	224
153	213
154	238
155	243
156	228
157	250
158	242
159	246
160	243
161	196
162	223
163	230
164	222
165	227
166	210
167	219
168	219
169	208
170	205
171	208
172	205
173	176
174	201
175	204
176	193
177	198
178	159
179	158
180	184
181	158
182	178
183	180
184	159
185	150
186	160
187	170
188	176
189	166
190	141
191	136
192	127
193	146
194	170
195	162
196	158
197	159
198	150
199	138
200	155
201	134
202	125
203	124
204	138
205	96
206	133
207	106
208	129
209	136
210	122
211	130
212	143
213	116
214	123
215	127
216	119
217	126
218	104
219	118
220	111
221	111
222	109
223	116
224	135
225	129
226	107
227	121
228	110
229	96
230	113
231	101
232	103
233	110
234	117
235	106
236	85
237	101
238	111
239	93
240	113
241	117
242	117
243	108
244	97
245	90
246	108
247	90
248	100
249	101
250	125
251	98
252	90
253	102
254	94
255	102
256	97
257	93
258	104
259	71
260	106
261	97
262	104
263	83
264	100
265	90
266	79
267	99
268	109
269	95
270	101
271	90
272	91
273	100
274	75
275	88
276	89
277	90
278	84
279	83
280	90
281	88
282	96
283	96
284	86
285	85
286	98
287	84
288	84
289	102
290	86
291	85
292	108
293	95
294	78
295	91
296	77
297	104
298	86
299	95
300	98
301	96
302	92
303	99
304	93
305	77
306	86
307	85
308	89
309	93
310	84
311	97
312	98
313	92
314	80
315	96
316	106
317	87
318	100
319	108
320	76
321	84
322	95
323	104
324	91
325	85
326	100
327	75
328	81
329	70
330	78
331	85
332	87
333	76
334	88
335	106
336	94
337	87
338	66
339	97
340	82
341	79
342	90
343	87
344	74
345	82
346	85
347	96
348	89
349	84
350	79
351	86
352	92
353	84
354	73
355	99
356	85
357	86
358	84
359	97
360	76
361	100
362	85
363	105
364	101
365	77
366	91
367	78
368	81
369	84
370	89
371	81
372	85
373	84
374	89
375	87
376	77
377	68
378	83
379	88
380	103
381	79
382	100
383	85
384	85
385	80
386	75
387	90
388	102
389	88
390	86
391	84
392	82
393	106
394	87
395	83
396	128
397	81
398	102
399	80
400	83
401	87
402	109
403	88
404	88
405	81
406	86
407	76
408	89
409	94
410	93
411	87
412	99
413	81
414	77
415	82
416	103
417	84
418	91
419	83
420	100
421	85
422	83
423	83
424	82
425	100
426	87
427	86
428	88
429	88
430	99
431	88
432	100
433	79
434	101
435	107
436	81
437	85
438	87
439	102
440	97
441	96
442	93
443	93
444	88
445	90
446	99
447	96
448	97
449	93
450	90
451	90
452	107
453	99
454	109
455	112
456	98
457	86
458	96
459	99
460	105
461	109
462	89
463	97
464	95
465	88
466	89
467	98
468	93
469	88
470	109
471	96
472	98
473	94
474	103
475	101
476	105
477	91
478	98
479	96
480	102
481	95
482	94
483	107
484	111
485	106
486	106
487	110
488	92
489	122
490	106
491	113
