Filename:  D:\Università\IFNS\Lab\Lab-IFNS\Dati\Stab_60Co\60Co final.mca
Description:  
TimeStamp:  03/21/2022 16:53:57

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	473
15	496
16	482
17	459
18	461
19	458
20	435
21	502
22	509
23	534
24	513
25	494
26	521
27	575
28	540
29	557
30	576
31	612
32	573
33	543
34	524
35	556
36	575
37	614
38	620
39	596
40	615
41	677
42	614
43	660
44	718
45	782
46	902
47	928
48	985
49	1166
50	1271
51	1239
52	1271
53	1199
54	1105
55	986
56	931
57	803
58	812
59	705
60	759
61	722
62	604
63	592
64	513
65	497
66	528
67	482
68	480
69	473
70	447
71	492
72	486
73	469
74	455
75	508
76	490
77	510
78	517
79	490
80	475
81	512
82	482
83	528
84	550
85	509
86	512
87	489
88	502
89	501
90	496
91	525
92	547
93	528
94	553
95	517
96	528
97	553
98	523
99	552
100	475
101	540
102	535
103	505
104	556
105	486
106	513
107	532
108	523
109	525
110	568
111	512
112	500
113	494
114	532
115	517
116	549
117	568
118	510
119	553
120	575
121	542
122	562
123	590
124	577
125	615
126	598
127	623
128	681
129	642
130	657
131	680
132	708
133	699
134	735
135	755
136	801
137	820
138	791
139	791
140	852
141	924
142	921
143	891
144	925
145	963
146	984
147	992
148	957
149	972
150	967
151	1056
152	973
153	1047
154	970
155	1075
156	1041
157	1017
158	984
159	1026
160	1016
161	1046
162	958
163	985
164	969
165	943
166	908
167	884
168	893
169	874
170	888
171	819
172	867
173	886
174	795
175	782
176	802
177	751
178	799
179	776
180	743
181	798
182	729
183	740
184	659
185	734
186	654
187	632
188	609
189	646
190	662
191	654
192	646
193	649
194	603
195	627
196	620
197	593
198	615
199	565
200	579
201	574
202	574
203	508
204	538
205	549
206	528
207	514
208	525
209	508
210	527
211	537
212	468
213	510
214	493
215	482
216	502
217	470
218	488
219	463
220	457
221	437
222	455
223	437
224	481
225	492
226	457
227	451
228	439
229	446
230	449
231	416
232	426
233	416
234	448
235	416
236	414
237	417
238	418
239	443
240	411
241	428
242	401
243	389
244	420
245	402
246	442
247	444
248	404
249	390
250	405
251	369
252	406
253	429
254	413
255	380
256	358
257	405
258	374
259	387
260	395
261	396
262	373
263	392
264	361
265	399
266	414
267	390
268	334
269	371
270	399
271	364
272	386
273	369
274	394
275	393
276	362
277	387
278	378
279	373
280	355
281	372
282	407
283	391
284	370
285	375
286	386
287	342
288	377
289	365
290	358
291	384
292	400
293	376
294	374
295	371
296	376
297	383
298	403
299	394
300	380
301	359
302	382
303	412
304	368
305	370
306	378
307	385
308	399
309	385
310	376
311	402
312	397
313	383
314	368
315	394
316	394
317	343
318	406
319	389
320	367
321	351
322	378
323	370
324	352
325	397
326	366
327	336
328	381
329	373
330	374
331	376
332	446
333	377
334	377
335	375
336	329
337	384
338	331
339	380
340	377
341	389
342	370
343	366
344	372
345	378
346	372
347	337
348	369
349	369
350	328
351	346
352	356
353	381
354	378
355	341
356	385
357	387
358	328
359	333
360	385
361	335
362	374
363	354
364	360
365	364
366	368
367	394
368	325
369	349
370	317
371	378
372	362
373	335
374	347
375	376
376	356
377	342
378	373
379	348
380	389
381	366
382	330
383	352
384	337
385	344
386	380
387	358
388	359
389	350
390	373
391	367
392	358
393	394
394	380
395	361
396	365
397	364
398	397
399	370
400	362
401	361
402	379
403	361
404	362
405	408
406	376
407	397
408	322
409	362
410	382
411	356
412	349
413	379
414	405
415	377
416	363
417	371
418	346
419	413
420	356
421	352
422	356
423	372
424	367
425	389
426	407
427	375
428	396
429	347
430	397
431	384
432	367
433	405
434	389
435	374
436	369
437	358
438	385
439	415
440	365
441	425
442	399
443	380
444	422
445	415
446	379
447	413
448	354
449	396
450	394
451	390
452	402
453	378
454	414
455	397
456	406
457	423
458	391
459	399
460	408
461	422
462	407
463	399
464	395
465	365
466	410
467	377
468	407
469	435
470	405
471	377
472	377
473	404
474	388
475	445
476	417
477	449
478	399
479	439
480	418
481	414
482	439
483	427
484	409
485	428
486	403
487	434
488	398
489	425
490	408
491	444
492	406
493	449
494	472
495	424
496	425
497	416
498	421
499	440
500	398
501	458
502	437
503	442
504	447
505	445
506	437
507	450
