Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	619
15	654
16	669
17	673
18	640
19	677
20	642
21	692
22	747
23	740
24	695
25	721
26	687
27	704
28	726
29	764
30	776
31	771
32	785
33	744
34	745
35	719
36	743
37	767
38	787
39	808
40	837
41	882
42	871
43	959
44	975
45	1055
46	1184
47	1302
48	1423
49	1531
50	1546
51	1673
52	1697
53	1570
54	1451
55	1316
56	1143
57	1145
58	1144
59	1020
60	1008
61	885
62	848
63	805
64	799
65	720
66	684
67	680
68	688
69	631
70	664
71	677
72	629
73	651
74	693
75	706
76	638
77	682
78	668
79	676
80	712
81	691
82	677
83	693
84	715
85	684
86	724
87	707
88	679
89	692
90	742
91	686
92	737
93	732
94	663
95	746
96	714
97	725
98	744
99	730
100	745
101	665
102	697
103	746
104	779
105	709
106	694
107	712
108	731
109	732
110	727
111	675
112	713
113	684
114	742
115	737
116	741
117	741
118	718
119	769
120	788
121	797
122	826
123	807
124	763
125	782
126	870
127	826
128	890
129	855
130	899
131	954
132	984
133	904
134	1000
135	1033
136	1109
137	1108
138	1133
139	1170
140	1204
141	1205
142	1256
143	1259
144	1325
145	1288
146	1344
147	1300
148	1414
149	1415
150	1387
151	1315
152	1396
153	1438
154	1438
155	1421
156	1340
157	1357
158	1369
159	1354
160	1313
161	1358
162	1337
163	1323
164	1353
165	1230
166	1306
167	1218
168	1253
169	1261
170	1170
171	1108
172	1182
173	1078
174	1113
175	1041
176	1053
177	1083
178	998
179	1026
180	983
181	976
182	998
183	928
184	941
185	910
186	982
187	893
188	870
189	873
190	851
191	857
192	822
193	815
194	899
195	868
196	794
197	796
198	781
199	787
200	746
201	755
202	790
203	690
204	748
205	775
206	738
207	695
208	784
209	662
210	692
211	662
212	716
213	668
214	694
215	629
216	688
217	605
218	664
219	657
220	586
221	616
222	655
223	623
224	638
225	661
226	585
227	616
228	616
229	590
230	603
231	572
232	599
233	561
234	550
235	620
236	593
237	548
238	547
239	601
240	541
241	592
242	576
243	585
244	637
245	581
246	563
247	585
248	525
249	546
250	563
251	539
252	583
253	569
254	542
255	582
256	520
257	587
258	543
259	573
260	545
261	574
262	528
263	606
264	546
265	521
266	518
267	535
268	560
269	507
270	515
271	551
272	542
273	529
274	549
275	561
276	514
277	538
278	527
279	534
280	571
281	556
282	532
283	517
284	528
285	539
286	518
287	505
288	493
289	502
290	534
291	540
292	493
293	539
294	485
295	505
296	503
297	527
298	547
299	519
300	504
301	545
302	557
303	543
304	508
305	523
306	509
307	531
308	532
309	520
310	538
311	537
312	569
313	528
314	507
315	562
316	536
317	538
318	517
319	544
320	545
321	557
322	489
323	510
324	526
325	554
326	515
327	529
328	513
329	511
330	502
331	519
332	484
333	448
334	520
335	519
336	515
337	531
338	480
339	472
340	496
341	496
342	459
343	482
344	493
345	508
346	499
347	457
348	473
349	495
350	506
351	501
352	535
353	481
354	494
355	529
356	487
357	511
358	525
359	473
360	505
361	482
362	509
363	528
364	488
365	521
366	517
367	503
368	488
369	507
370	503
371	530
372	482
373	557
374	511
375	520
376	486
377	516
378	478
379	514
380	455
381	461
382	507
383	491
384	562
385	556
386	511
387	474
388	496
389	518
390	507
391	526
392	505
393	491
394	485
395	492
396	495
397	499
398	497
399	493
400	512
401	545
402	561
403	542
404	525
405	546
406	517
407	534
408	600
409	508
410	515
411	524
412	527
413	539
414	534
415	501
416	523
417	534
418	469
419	526
420	521
421	524
422	553
423	543
424	521
425	532
426	562
427	496
428	545
429	521
430	525
431	531
432	546
433	568
434	535
435	481
436	490
437	522
438	511
439	504
440	507
441	560
442	518
443	561
444	546
445	552
446	509
447	557
448	531
449	561
450	531
451	552
452	555
453	548
454	538
455	551
456	519
457	533
458	534
459	556
460	542
461	581
462	505
463	562
464	559
465	556
466	585
467	527
468	506
469	607
470	527
471	565
472	560
473	598
474	545
475	607
476	582
477	564
478	637
479	573
480	560
481	529
482	576
483	576
484	557
485	609
486	573
487	585
488	632
489	585
490	565
491	558
492	633
493	632
494	601
495	596
496	582
497	601
498	600
499	611
500	607
501	564
502	629
503	597
504	620
505	641
506	612
507	629
508	601
509	637
510	647
511	572
512	576
513	634
514	625
515	625
516	563
