Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	311
15	302
16	353
17	364
18	415
19	376
20	407
21	451
22	462
23	433
24	448
25	480
26	483
27	514
28	528
29	569
30	669
31	684
32	733
33	725
34	796
35	861
36	942
37	974
38	1049
39	1108
40	1137
41	1283
42	1323
43	1373
44	1409
45	1561
46	1660
47	1629
48	1659
49	1803
50	1818
51	1938
52	1817
53	1786
54	1849
55	1832
56	1730
57	1809
58	1805
59	1754
60	1748
61	1704
62	1715
63	1806
64	1688
65	1616
66	1659
67	1570
68	1626
69	1628
70	1576
71	1553
72	1582
73	1465
74	1558
75	1483
76	1533
77	1442
78	1509
79	1464
80	1413
81	1448
82	1379
83	1410
84	1300
85	1323
86	1248
87	1379
88	1271
89	1282
90	1229
91	1294
92	1202
93	1139
94	1192
95	1150
96	1071
97	1148
98	1132
99	1092
100	1057
101	1029
102	1138
103	1050
104	978
105	992
106	933
107	982
108	945
109	916
110	959
111	894
112	897
113	902
114	901
115	889
116	831
117	828
118	884
119	847
120	837
121	795
122	811
123	758
124	765
125	745
126	737
127	739
128	693
129	738
130	642
131	704
132	726
133	697
134	692
135	623
136	653
137	646
138	627
139	600
140	590
141	659
142	628
143	619
144	544
145	597
146	638
147	627
148	607
149	538
150	596
151	576
152	578
153	551
154	526
155	578
156	539
157	491
158	500
159	494
160	454
161	439
162	444
163	386
164	416
165	399
166	402
167	410
168	428
169	382
170	390
171	393
172	380
173	363
174	402
175	369
176	373
177	338
178	332
179	372
180	338
181	345
182	366
183	343
184	338
185	338
186	338
187	305
188	307
189	312
190	322
191	303
192	311
193	270
194	260
195	275
196	254
197	269
198	256
199	233
200	256
201	265
202	276
203	252
204	258
205	259
206	238
207	278
208	238
209	240
210	237
211	260
212	250
213	233
214	227
215	233
216	261
217	235
218	210
219	207
220	239
221	224
222	199
223	187
224	190
225	226
226	194
227	175
228	183
229	183
230	184
231	175
232	177
233	187
234	158
235	178
236	173
237	190
238	170
239	176
240	141
241	153
242	127
243	141
244	144
245	162
246	149
247	125
248	120
249	159
250	133
251	129
252	138
253	135
254	130
255	147
256	133
257	136
258	130
259	127
260	124
261	131
262	137
263	126
264	114
265	123
266	129
267	127
268	112
269	113
270	111
271	136
272	132
273	130
274	115
275	102
276	132
277	117
278	113
279	128
280	113
281	119
282	125
283	117
284	99
285	110
286	110
287	104
288	105
289	122
290	116
291	117
292	103
293	118
294	112
295	118
296	104
297	108
298	112
299	129
300	100
301	95
302	114
303	93
304	85
305	85
306	98
307	99
308	106
309	100
310	101
311	100
312	114
313	98
314	97
315	100
316	95
317	106
318	93
319	107
320	89
321	93
322	95
323	85
324	87
325	99
326	94
327	90
328	80
329	95
330	85
331	86
332	81
333	76
334	73
335	89
336	84
337	83
338	86
339	95
340	87
341	71
342	69
343	104
344	82
345	104
346	85
347	80
348	80
349	102
350	109
351	84
352	82
353	84
354	80
355	80
356	101
357	77
358	69
359	87
360	78
361	100
362	91
363	96
364	98
365	99
366	94
367	86
368	103
369	93
370	103
371	103
372	87
373	95
374	78
375	88
376	83
377	73
378	77
379	72
380	96
381	79
382	85
383	65
384	68
385	65
386	53
387	70
388	50
389	60
390	55
391	67
392	51
393	57
394	58
395	52
396	46
397	57
398	56
399	55
400	58
401	46
402	54
403	57
404	64
405	45
406	46
407	44
408	52
409	54
410	51
411	33
412	47
413	46
414	46
415	46
416	70
417	51
418	35
419	46
420	42
421	52
422	56
423	43
424	42
425	34
426	39
427	39
428	40
429	52
430	50
431	42
432	49
433	33
434	47
435	37
436	52
437	47
438	52
439	60
440	47
441	52
442	45
443	49
444	32
445	54
446	48
447	46
448	47
449	44
450	39
451	41
452	36
453	36
454	48
455	41
456	42
457	43
458	44
459	38
460	48
461	44
462	54
463	44
464	33
465	39
466	45
467	38
468	39
469	45
470	43
471	43
472	36
473	49
474	44
475	45
476	31
477	34
478	42
479	36
480	48
481	43
482	49
483	37
484	35
485	44
486	43
487	42
488	43
489	36
490	52
491	33
492	45
493	31
494	33
495	48
496	36
497	40
498	41
499	41
500	35
501	39
502	37
503	38
504	36
505	36
506	29
507	36
508	36
509	37
510	47
511	41
512	41
513	39
514	45
515	34
